7zip 24.09-3
a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20250127.0-2
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.15.1-1
alsa-lib 1.2.13-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
android-tools 35.0.2-12
android-udev 20250314-1
aom 3.12.0-1
apache 2.4.63-1
appstream 1.0.4-1
appstream-glib 0.8.3-2
apr 1.7.5-3
apr-util 1.6.3-2
archlinux-keyring 20250123-1
argon2 20190702-6
aribb24 1.0.3-4
at-spi2-core 2.56.0-1
atkmm 2.28.4-1
atop 2.11.0-1
attica5 5.116.0-1
attr 2.5.2-1
audacity 1:3.7.3-1
audit 4.0.3-1
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
babl 0.1.112-1
backintime-cli 1.4.1-2
base 3-2
base-devel 1-2
bash 5.2.037-2
bc 1.08.1-1
bcg729 1.1.1-2
binutils 2.44-1
binwalk 3.1.0-1
bison 3.8.2-8
blackarch-keyring 20180925-5
blas 3.12.1-2
bluez-libs 5.80-1
boost-libs 1.87.0-3
box2d 3.0.0-1
breeze-icons 6.12.0-1
bridge-utils 1.7.1-2
brotli 1.1.0-3
btrfs-progs 6.13-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.4-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.109-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
calibre 7.26.0-2
cantarell-fonts 1:0.303.1-2
cdparanoia 10.2-9
chmlib 0.40-8
cjson 1.7.18-1
clucene 2.3.3.4-15
cmatrix 2.0-3
composefs 1.0.7-1
confuse 3.3-4
containerd 2.0.4-1
coreutils 9.6-4
cronie 1.7.2-1
cryptsetup 2.7.5-2
curl 8.12.1-1
dav1d 1.5.1-1
db 6.2.32-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-glib 0.112-4
dconf 0.40.0-3
debugedit 5.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.31-1
diffutils 3.11-2
discord 0.0.88-1
dnssec-anchors 20190629-4
docker 1:28.0.1-1
docker-compose 2.34.0-1
dosfstools 4.2-5
double-conversion 3.3.1-1
dpkg 1.22.18-1
duktape 2.7.0-7
dwdiff 2.1.4-6
e2fsprogs 1.47.2-1
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.2-1
egl-wayland 4:1.1.18-1
egl-x11 1.0.0-1
eglexternalplatform 1.2-2
electron 1:34-1
electron25 25.9.8-1
electron34 34.3.2-1
element 0.46.6-2
ell 0.74-1
embree 4.3.3-1
enchant 2.8.2-2
exiv2 0.28.5-1
exo 4.20.0-2
expat 2.7.0-1
faad2 2.11.2-1
fakeroot 1.37.1-1
feh 3.10.3-1
ffmpeg 2:7.1-7
ffmpeg4.4 4.4.5-3
fftw 3.3.10-7
file 5.46-3
filesystem 2024.11.21-1
findutils 4.10.0-2
firefox 136.0.2-1
firmwalker 101.23ff299-1
firmware-mod-kit 149.8403a17-1
flac 1.5.0-1
flameshot 12.1.0-5
flatpak 1:1.16.0-1
flex 2.6.4-5
fmt 11.1.4-1
fontconfig 2:2.16.1-1
freeglut 3.6.0-1
freetype2 2.13.3-3
fribidi 1.0.16-1
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
gawk 5.3.1-2
gc 8.2.8-2
gcc 14.2.1+r753+g1cd744a6828f-1
gcc-libs 14.2.1+r753+g1cd744a6828f-1
gcr 3.41.2-2
gcr-4 4.3.1-1
gdbm 1.24-2
gdk-pixbuf2 2.42.12-2
gegl 0.4.56-1
geoclue 2.7.2-1
gettext 0.24-1
giflib 5.2.2-1
gimp 3.0.0-1
git 2.49.0-1
glib-networking 1:2.80.1-1
glib2 2.84.0-1
glibc 2.41+r9+ga900dbaf70f0-1
glibmm 2.66.7-1
glibmm-2.68 2.84.0-1
glslang 15.1.0-1
glu 9.0.3-2
gmp 6.3.0-2
gnu-free-fonts 20120503-8
gnulib-l10n 20241231-1
gnupg 2.4.7-1
gnutls 3.8.9-1
